date_of_data,facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,last_visit_date,inspection_visits,complaint_visits,other_visits,total_visits,all_visit_dates,inspection_visit_dates,inspect_type_a,inspect_type_b,other_visit_dates,other_type_a,other_type_b,geocoded_address,google_proper_address,latitude,longitude,location_type,partial_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197416354,MARY STAR OF THE SEA PRESCHOOL,"ARCHDIOCESE OF LOS ANGELES, ED. AND WELFARE CORP.",ELIZABETH CASTAGNOLA,(310) 831-0875,717 SO. CABRILLO AVE.,SAN PEDRO,CA,90731,Los Angeles,30,30,Licensed,8/27/09,,9/27/13,1,0,0,1,9/27/13,9/27/13,0,0,,0,0,"717 SO. CABRILLO AVE., SAN PEDRO, CA 90731","717 South Cabrillo Avenue, San Pedro, CA 90731, USA",33.737451,-118.295426,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191604771,DAY-STAR EARLY LEARNING CENTER,"FRANCO, DEENA M. & JESSE J.","FRANCO, DEENA",(310) 833-7412,631 WEST SIXTH ST.,SAN PEDRO,CA,90731,Los Angeles,30,72,Licensed,5/3/93,,9/29/14,2,3,0,5,"09/29/2014, 09/22/2011, 09/07/2011, 05/13/2010, 04/28/2010","09/29/2014, 04/28/2010",1,0,,0,0,"631 WEST SIXTH ST., SAN PEDRO, CA 90731","631 West 6th Street, San Pedro, CA 90731, USA",33.7385,-118.290778,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191606802,COMPREHENSIVE CHILD DEVELOPMENT,COMPREHENSIVE CHILD DEVELOPMENT FOUNDATION,ROBERTA RAMIREZ,(310) 514-4999,769 W. 3RD STREET,SAN PEDRO,CA,90731,Los Angeles,30,62,Licensed,12/4/91,,12/11/14,2,3,6,11,"12/11/2014, 07/22/2014, 07/11/2014, 11/26/2013, 09/25/2012, 08/04/2011, 05/27/2011, 04/29/2011, 04/19/2011, 04/05/2011, 02/02/2011","12/11/2014, 02/02/2011",0,0,"07/22/2014, 11/26/2013, 09/25/2012, 08/04/2011, 04/19/2011, 04/05/2011",0,2,"769 W. 3RD STREET, SAN PEDRO, CA 90731","769 West 3rd Street, San Pedro, CA 90731, USA",33.741751,-118.293841,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,INFANT CENTER,191606804,COMPREHENSIVE CHILD DEVELOPMENT,COMPREHENSIVE CHILD DEVELOPMENT FOUNDATION,ROBERTA RAMIREZ,(310) 514-4999,769 W. 3RD STREET,SAN PEDRO,CA,90732,Los Angeles,30,10,Licensed,12/4/91,,10/9/13,1,0,0,1,10/9/13,10/9/13,0,0,,0,0,"769 W. 3RD STREET, SAN PEDRO, CA 90732","769 West 3rd Street, San Pedro, CA 90731, USA",33.741751,-118.293841,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197413702,HOLY TRINITY PRESCHOOL,ARCHDIOCESE OF LOS ANGELES EDUC. & WELFARE CORP.,MICHELLE AIELLO,(310) 833-0703,1292 W. SANTA CRUZ STREET,SAN PEDRO,CA,90732,Los Angeles,30,22,Licensed,9/28/06,,11/5/14,2,0,0,2,"11/05/2014, 05/03/2012","11/05/2014, 05/03/2012",0,1,,0,0,"1292 W. SANTA CRUZ STREET, SAN PEDRO, CA 90732","1292 West Santa Cruz Street, San Pedro, CA 90732, USA",33.74445,-118.303925,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197405378,LOOK WHO'S LEARNING PRE-SCHOOL,"EPPLER,LYNDA MARIE","MALAHNI, ALICE",(310) 521-9277,1491 O'FARRELL STREET,SAN PEDRO,CA,90732,Los Angeles,30,43,Licensed,12/15/98,,2/26/14,1,4,4,9,"02/26/2014, 01/30/2014, 01/17/2014, 01/17/2014, 01/15/2014, 04/26/2013, 12/30/2009, 12/23/2009, 12/23/2009",1/30/14,0,1,"02/26/2014, 01/17/2014, 12/30/2009, 12/23/2009",3,0,"1491 O'FARRELL STREET, SAN PEDRO, CA 90732","1491 West Ofarrell Street, San Pedro, CA 90732, USA",33.7459518,-118.3082364,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197416690,BARTON HILL ELEMENTARY SCHOOL  CSPP,LAUSD/EARLY CHILDHOOD EDUCATION,"MARDESICH, LOUIE",(310) 547-2471,423 NORTH PACIFIC AVENUR RM.24,SAN PEDRO,CA,90731,Los Angeles,30,23,Licensed,1/19/10,,9/26/13,1,0,1,2,"09/26/2013, 06/10/2011",9/26/13,0,0,6/10/11,0,0,"423 NORTH PACIFIC AVENUR RM.24, SAN PEDRO, CA 90731","423 North Pacific Avenue, San Pedro, CA 90731, USA",33.7464867,-118.2891018,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191601563,BRIGHTER DAYS MONTESSORI SCHOOL,"CONCHA, CARRIE LYN","CONCHA, C.L.",(310) 831-2600,1903 SUMMERLAND,RANCHO PALOS VERDES,CA,90732,Los Angeles,30,80,Licensed,2/25/94,,5/17/13,1,0,0,1,5/17/13,5/17/13,0,0,,0,0,"1903 SUMMERLAND, RANCHO PALOS VERDES, CA 90732","1903 West Summerland Avenue, San Pedro, CA 90732, USA",33.7470434,-118.3095086,RANGE_INTERPOLATED,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197408362,P.V. PENINSULA MONTESSORI SCHOOL,P.V. PENINSULA MONTESSORI SCHOOL,"HICKSON, SHANE",(310) 544-3099,31100 HAWTHORNE BLVD,RANCHO PALOS VERDES,CA,90275,Los Angeles,30,156,Licensed,9/19/01,,11/13/13,1,1,0,2,"11/13/2013, 10/23/2013",11/13/13,0,0,,0,0,"31100 HAWTHORNE BLVD, RANCHO PALOS VERDES, CA 90275","31100 Hawthorne Boulevard, Rancho Palos Verdes, CA 90275, USA",33.7489041,-118.4058068,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197411693,MIRALESTE EARLY LEARNING CENTER,PALOS VERDES PENINSULA UNIFIED SCHOOL DISTRICT,MARY ELLEN HAWORTH,(310) 732-0922,6245 VIA CANADA,RANCHO PALOS VERDES,CA,90275,Los Angeles,30,190,Licensed,9/8/04,,7/31/13,2,1,4,7,"07/31/2013, 05/15/2013, 05/03/2013, 08/24/2012, 07/27/2012, 10/27/2011, 02/16/2010","05/03/2013, 02/16/2010",0,0,"07/31/2013, 05/15/2013, 08/24/2012, 10/27/2011",1,0,"6245 VIA CANADA, RANCHO PALOS VERDES, CA 90275","6245 Via Canada, Rancho Palos Verdes, CA 90275, USA",33.7512423,-118.3257688,RANGE_INTERPOLATED,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197402850,PARK WESTERN PLACE SCHOOL,LAUSD/EARLY CHILDHOOD EDUCATION,"FAIRCHILD, RENA K.",(310) 833-3591,"1214 PARK WESTERN PLACE, RM.15",SAN PEDRO,CA,90732,Los Angeles,30,22,Licensed,9/9/96,,4/8/13,1,0,0,1,4/8/13,4/8/13,0,2,,0,0,"1214 PARK WESTERN PLACE, RM.15, SAN PEDRO, CA 90732","1214 Park Western Place, San Pedro, CA 90732, USA",33.7528756,-118.3044518,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191600963,"BAYSHORE NURSERY SCHOOL, INC",BAYSHORE CO-OPERATIVE NURSERY SCHOOL,CORINNA GIST,(562) 570-1715,5431 OCEAN BLVD,LONG BEACH,CA,90803,Los Angeles,33,17,Licensed,12/19/93,,12/17/14,4,0,3,7,"12/17/2014, 11/25/2014, 04/03/2014, 11/13/2012, 11/02/2011, 02/10/2011, 11/17/2009","12/17/2014, 04/03/2014, 11/13/2012, 11/02/2011",0,0,"11/25/2014, 02/10/2011, 11/17/2009",0,0,"5431 OCEAN BLVD, LONG BEACH, CA 90803","5431 East Ocean Boulevard, Long Beach, CA 90803, USA",33.7529852,-118.130926,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191890441,PARK WESTERN PLACE EARLY EDUCATION CENTER,LAUSD/EARLY CHILDHOOD EDUCATION,"JACKSON, JOSEMIE",(310) 833-2875,1220 PARK WESTERN PLACE,SAN PEDRO,CA,90732,Los Angeles,30,112,Licensed,10/1/96,,9/13/13,1,3,4,8,"09/13/2013, 05/22/2013, 05/22/2013, 04/26/2013, 07/26/2012, 01/19/2012, 11/03/2011, 11/09/2010",7/26/12,0,2,"05/22/2013, 01/19/2012, 11/03/2011, 11/09/2010",3,0,"1220 PARK WESTERN PLACE, SAN PEDRO, CA 90732","1220 Park Western Place, San Pedro, CA 90732, USA",33.7530744,-118.3047087,RANGE_INTERPOLATED,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191603494,CHRIST LUTHERAN PRESCHOOL,CHRIST LUTHERAN CHURCH,"WARNEKE, LINDA",(310) 831-8008,28850 S. WESTERN AVENUE,RANCHO PALOS VERDES,CA,90275,Los Angeles,30,30,Licensed,5/2/89,,10/24/14,2,0,0,2,"10/24/2014, 05/11/2012","10/24/2014, 05/11/2012",0,0,,0,0,"28850 S. WESTERN AVENUE, RANCHO PALOS VERDES, CA 90275","28850 South Western Avenue, Rancho Palos Verdes, CA 90275, USA",33.7573923,-118.3105325,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,198006258,BELMONT SHORE CHILDREN'S CENTER,"GREEN STREET, INC.",SOPHIA NAVARRO,(562) 439-3369,30 S. TERMINO,LONG BEACH,CA,90803,Los Angeles,33,70,Licensed,1/2/01,,11/6/14,2,9,4,15,"11/06/2014, 11/06/2014, 11/06/2014, 10/15/2014, 09/26/2014, 07/23/2014, 07/23/2014, 06/24/2014, 04/03/2014, 04/03/2014, 04/25/2012, 03/02/2012, 05/19/2011, 03/02/2011, 04/27/2010","04/03/2014, 03/02/2012",0,2,"04/03/2014, 04/25/2012, 05/19/2011, 03/02/2011",1,0,"30 S. TERMINO, LONG BEACH, CA 90803","30 South Termino Avenue, Long Beach, CA 90803, USA",33.7590634,-118.1458628,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191609896,HILLTOP NURSERY SCHOOL,"RAYAS, MARIA","RAYAS, PATRICIA",(310) 377-9644,5702 CREST ROAD,PALOS VERDES,CA,90275,Los Angeles,30,29,Licensed,1/12/94,,11/13/14,5,0,0,5,"11/13/2014, 02/07/2014, 05/10/2013, 10/14/2011, 03/15/2010","11/13/2014, 02/07/2014, 05/10/2013, 10/14/2011, 03/15/2010",0,0,,0,0,"5702 CREST ROAD, PALOS VERDES, CA 90275","5702 Crest Road, Rancho Palos Verdes, CA 90275, USA",33.760159,-118.374145,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197418700,LITTLE SPROUTS PRESCHOOL,LITTLE SPROUTS PRESCHOOL,REBECCA PEREZ,(310) 833-3365,1921 N. GAFFEY STREET STE. A,SAN PEDRO,CA,90731,Los Angeles,30,39,Licensed,8/23/13,,8/20/14,1,2,2,5,"06/18/2014, 07/19/2013, 07/11/2013, 05/16/2013, 04/25/2013",6/18/14,0,1,"05/16/2013, 04/25/2013",0,0,"1921 N. GAFFEY STREET STE. A, SAN PEDRO, CA 90731","1921 North Gaffey Street, San Pedro, CA 90731, USA",33.7622886,-118.293123,RANGE_INTERPOLATED,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,198014185,KID WORKS CHILDREN'S CENTER,"LUCRE, LLC","RANASINGHE, D.",(562) 438-4904,3621 E. BROADWAY,LONG BEACH,CA,90803,Los Angeles,33,50,Licensed,5/8/08,,11/18/14,2,2,6,10,"11/18/2014, 10/15/2014, 10/15/2014, 06/05/2014, 06/05/2014, 11/08/2013, 11/08/2013, 11/08/2013, 11/08/2013, 10/17/2012","10/15/2014, 10/17/2012",0,5,"11/18/2014, 10/15/2014, 06/05/2014, 06/05/2014, 11/08/2013, 11/08/2013",0,1,"3621 E. BROADWAY, LONG BEACH, CA 90803","3621 East Broadway, Long Beach, CA 90803, USA",33.7646217,-118.1497525,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191670974,MANN CHILD DEVELOPMENT CENTER,LONG BEACH UNIFIED SCHOOL DISTRICT,ROBBIE WADDELL,(562) 438-7243,3215 E VISTA AVE,LONG BEACH,CA,90803,Los Angeles,33,48,Licensed,10/19/94,,3/24/14,2,3,3,8,"03/24/2014, 06/04/2012, 01/20/2012, 12/09/2011, 12/09/2011, 11/07/2011, 09/16/2011, 03/18/2011","03/24/2014, 03/18/2011",0,3,"06/04/2012, 01/20/2012, 12/09/2011",1,0,"3215 E VISTA AVE, LONG BEACH, CA 90803","3215 East Vista Street, Long Beach, CA 90803, USA",33.7662825,-118.1544421,RANGE_INTERPOLATED,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,198005522,CHILDTIME CHILDREN'S CENTER,"CHILDTIME CHILDCARE, INC.",SARA SALAZAR,(562) 437-7498,"ONE WORLD TRADE CTR,STE 199",LONG BEACH,CA,90831,Los Angeles,33,55,Licensed,3/28/00,,5/19/14,3,0,5,8,"05/19/2014, 10/02/2013, 10/02/2013, 09/17/2013, 04/29/2013, 07/27/2012, 02/18/2011, 03/10/2010","09/17/2013, 02/18/2011, 03/10/2010",0,3,"05/19/2014, 10/02/2013, 10/02/2013, 04/29/2013, 07/27/2012",1,0,"ONE WORLD TRADE CTR,STE 199, LONG BEACH, CA 90831","1 World Trade Center #199, Long Beach, CA 90802, USA",33.7679696,-118.2001382,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,INFANT CENTER,198005523,CHILDTIME CHILDREN'S CENTER-INFANT PROGRAM,"CHILDTIME CHILDCARE, INC.",SARA SALAZAR,(562) 437-7498,"ONE WORLD TRADE CENTER, STE199",LONG BEACH,CA,90831,Los Angeles,33,38,Licensed,3/28/00,,11/6/14,3,2,3,8,"11/06/2014, 05/19/2014, 09/13/2013, 09/13/2013, 09/13/2013, 05/15/2012, 04/14/2011, 03/10/2010","09/13/2013, 05/15/2012, 03/10/2010",0,2,"11/06/2014, 05/19/2014, 04/14/2011",1,0,"ONE WORLD TRADE CENTER, STE199, LONG BEACH, CA 90831","1 World Trade Center #199, Long Beach, CA 90802, USA",33.7679696,-118.2001382,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,INFANT CENTER,197419680,PALOS VERDES MONTESSORI ACADEMY,"SUNLAND PALOS VERDES MONTESSORI, INC.","GUNASEKARA, HISSANKA S.",(310) 541-2405,28451 INDIAN PEAK ROAD,RANCHO PAOLS VERDES,CA,90274,Los Angeles,30,24,Pending,,,,0,0,0,0,,,0,0,,0,0,"28451 INDIAN PEAK ROAD, RANCHO PAOLS VERDES, CA 90274","28451 Indian Peak Road, Palos Verdes Peninsula, CA 90274, USA",33.768294,-118.371036,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,197419681,PALOS VERDES MONTESSORI ACADEMY,"SUNLAND PALOS VERDES MONTESSORI, INC.","GUNASEKARA, HISSANKA S.",(310) 541-2405,28451 INDIAN PEAK ROAD,RANCHOS PALOS VERDES,CA,90274,Los Angeles,30,88,Pending,,,,0,0,0,0,,,0,0,,0,0,"28451 INDIAN PEAK ROAD, RANCHOS PALOS VERDES, CA 90274","28451 Indian Peak Road, Palos Verdes Peninsula, CA 90274, USA",33.768294,-118.371036,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191603320,NER TAMID PRE-SCHOOL,CONGREGATION NER TAMID OF THE SOUTH BAY,SUSAN RUDICH,(310) 544-7725,5721 CRESTRIDGE ROAD,RANCHO PALOS VERDES,CA,90274,Los Angeles,30,55,Licensed,2/23/95,,2/5/14,1,2,2,5,"02/05/2014, 07/06/2012, 06/05/2012, 01/18/2012, 12/15/2011",2/5/14,0,0,"07/06/2012, 06/05/2012",0,0,"5721 CRESTRIDGE ROAD, RANCHO PALOS VERDES, CA 90274","5721 Crestridge Road, Rancho Palos Verdes, CA 90275, USA",33.7684656,-118.3768189,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191601010,BELMONT HEIGHTS UNITED METHODIST CHURCH NURSERY S,BELMONT HEIGHTS UNITED METHODIST CHURCH,"SORIANO, CHRISTY",(562) 438-1466,317 TERMINO AVE,LONG BEACH,CA,90814,Los Angeles,33,105,Licensed,4/1/93,,4/2/14,2,0,0,2,"04/02/2014, 04/27/2010","04/02/2014, 04/27/2010",0,2,,0,0,"317 TERMINO AVE, LONG BEACH, CA 90814","317 Termino Avenue, Long Beach, CA 90814, USA",33.7687338,-118.1468031,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,198017704,CESAR CHAVEZ HEAD START,LONG BEACH UNIFIED SCHOOL DISTRICT,SOPHIA TOCH,(562) 590-0904,730 W. 3RD STREET AVENUE,LONG BEACH,CA,90802,Los Angeles,33,60,Licensed,10/18/13,,9/15/14,0,0,2,2,"09/15/2014, 09/27/2013",,0,0,"09/15/2014, 09/27/2013",0,0,"730 W. 3RD STREET AVENUE, LONG BEACH, CA 90802","730 West 3rd Street, Long Beach, CA 90802, USA",33.7698972,-118.2008371,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,198018214,LAGOON PLAYGROUP,LAGOON PLAYGROUP,MICHELLE VEAZEY,(562) 498-1663,5119 COLORADO STREET,LONG BEACH,CA,90804,Los Angeles,33,15,Licensed,11/17/14,,11/6/14,0,0,1,1,11/6/14,,0,0,11/6/14,0,0,"5119 COLORADO STREET, LONG BEACH, CA 90804","5119 East Colorado Street, Long Beach, CA 90803, USA",33.7700244,-118.1323542,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,SCHOOL AGE DAY CARE CENTER,198016093,DOWNTOWN ASSOCIATES YOUTH SERVICES,DOWNTOWN ASSOCIATES YOUTH SERVICES,,,241 CEDAR AVE.,LONG BEACH,CA,90802,Los Angeles,33,0,Unlicensed,,,,0,0,0,0,,,0,0,,0,0,"241 CEDAR AVE., LONG BEACH, CA 90802","241 Cedar Avenue, Long Beach, CA 90802, USA",33.7702599,-118.1954228,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,INFANT CENTER,191603764,OUR SAVIORS LUTHERAN INFANT CENTER,OUR SAVIORS LUTHERAN CHURCH,TERRI RUTAN,(562) 439-9679,370 JUNIPERO AVE,LONG BEACH,CA,90814,Los Angeles,33,16,Licensed,6/27/89,,3/21/13,1,0,1,2,"03/21/2013, 07/14/2011",3/21/13,0,0,7/14/11,0,0,"370 JUNIPERO AVE, LONG BEACH, CA 90814","370 Junipero Avenue, Long Beach, CA 90814, USA",33.770921,-118.164029,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,DAY CARE CENTER,191602147,OUR SAVIOUR'S LUTHERAN PRESCHOOL,OUR SAVIOUR'S LUTHERAN CHURCH,TERRI RUTAN,(562) 439-9679,370 JUNIPERO AVE,LONG BEACH,CA,90814,Los Angeles,33,68,Licensed,8/29/93,,3/21/13,1,0,1,2,"03/21/2013, 07/14/2011",3/21/13,0,0,7/14/11,0,0,"370 JUNIPERO AVE, LONG BEACH, CA 90814","370 Junipero Avenue, Long Beach, CA 90814, USA",33.770921,-118.164029,ROOFTOP,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
